name,start,length,color
A,0,1,red
B,0,1,red
C,0,3,red
D,0,2,red
E,0,3,red
F,0,2,red
G,0,1,red
H,0,1,red
I,0,1,red
J,0,1,red
K,0,2,red
L,0,1,red
M,0,2,red
N,0,3,red
O,0,2,red
P,0,2,red
Q,0,3,red
R,0,4,red
S,0,2,red
T,0,2,red
U,0,2,red
V,0,3,red
W,0,2,red
X,0,2,red
Y,0,2,red
Z,0,2,red
[,0,2,red
\,0,2,red
],0,2,red
^,0,4,red
_,0,1,red
`,0,2,red
a,0,2,red
b,0,2,red
c,0,2,red
d,0,2,red
e,0,2,red
f,0,2,red
g,0,3,red
h,0,2,red
i,0,1,red
A,1,1,red
B,1,1,red
C,1,3,red
D,1,2,red
E,1,3,red
F,1,2,red
G,1,1,red
H,1,1,red
I,1,1,red
J,1,1,red
K,1,2,red
L,1,1,red
M,1,2,red
N,1,3,red
O,1,2,red
P,1,2,red
Q,1,3,red
R,1,4,red
S,1,2,red
T,1,2,red
U,1,2,red
V,1,3,red
W,1,2,red
X,1,2,red
Y,1,2,red
Z,1,2,red
[,1,2,red
\,1,2,red
],1,2,red
^,1,4,red
_,1,1,red
`,1,2,red
a,1,2,red
b,1,2,red
c,1,2,red
d,1,2,red
e,1,2,red
f,1,2,red
g,1,3,red
h,1,2,red
i,1,1,red
A,2,1,red
B,2,1,red
C,2,3,red
D,2,2,red
E,2,3,red
F,2,2,red
G,2,1,red
H,2,1,red
I,2,1,red
J,2,1,red
K,2,2,red
L,2,1,red
M,2,2,red
N,2,3,red
O,2,2,red
P,2,2,red
Q,2,3,red
R,2,4,red
S,2,2,red
T,2,2,red
U,2,2,red
V,2,3,red
W,2,2,red
X,2,2,red
Y,2,2,red
Z,2,2,red
[,2,2,red
\,2,2,red
],2,2,red
^,2,4,red
_,2,1,red
`,2,2,red
a,2,2,red
b,2,2,red
c,2,2,red
d,2,2,red
e,2,2,red
f,2,2,red
g,2,3,red
h,2,2,red
i,2,1,red
A,3,1,red
B,3,1,red
C,3,3,red
D,3,2,red
E,3,3,red
F,3,2,red
G,3,1,red
H,3,1,red
I,3,1,red
J,3,1,red
K,3,2,red
L,3,1,red
M,3,2,red
N,3,3,red
O,3,2,red
P,3,2,red
Q,3,3,red
R,3,4,red
S,3,2,red
T,3,2,red
U,3,2,red
V,3,3,red
W,3,2,red
X,3,2,red
Y,3,2,red
Z,3,2,red
[,3,2,red
\,3,2,red
],3,2,red
^,3,4,red
_,3,1,red
`,3,2,red
a,3,2,red
b,3,2,red
c,3,2,red
d,3,2,red
e,3,2,red
f,3,2,red
g,3,3,red
h,3,2,red
i,3,1,red
A,4,1,red
B,4,1,red
C,4,3,red
D,4,2,red
E,4,3,red
F,4,2,red
G,4,1,red
H,4,1,red
I,4,1,red
J,4,1,red
K,4,2,red
L,4,1,red
M,4,2,red
N,4,3,red
O,4,2,red
P,4,2,red
Q,4,3,red
R,4,4,red
S,4,2,red
T,4,2,red
U,4,2,red
V,4,3,red
W,4,2,red
X,4,2,red
Y,4,2,red
Z,4,2,red
[,4,2,red
\,4,2,red
],4,2,red
^,4,4,red
_,4,1,red
`,4,2,red
a,4,2,red
b,4,2,red
c,4,2,red
d,4,2,red
e,4,2,red
f,4,2,red
g,4,3,red
h,4,2,red
i,4,1,red
A,5,1,red
B,5,1,red
C,5,3,red
D,5,2,red
E,5,3,red
F,5,2,red
G,5,1,red
H,5,1,red
I,5,1,red
J,5,1,red
K,5,2,red
L,5,1,red
M,5,2,red
N,5,3,red
O,5,2,red
P,5,2,red
Q,5,3,red
R,5,4,red
S,5,2,red
T,5,2,red
U,5,2,red
V,5,3,red
W,5,2,red
X,5,2,red
Y,5,2,red
Z,5,2,red
[,5,2,red
\,5,2,red
],5,2,red
^,5,4,red
_,5,1,red
`,5,2,red
a,5,2,red
b,5,2,red
c,5,2,red
d,5,2,red
e,5,2,red
f,5,2,red
g,5,3,red
h,5,2,red
i,5,1,red
A,6,1,red
B,6,1,red
C,6,3,red
D,6,2,red
E,6,3,red
F,6,2,red
G,6,1,red
H,6,1,red
I,6,1,red
J,6,1,red
K,6,2,red
L,6,1,red
M,6,2,red
N,6,3,red
O,6,2,red
P,6,2,red
Q,6,3,red
R,6,4,red
S,6,2,red
T,6,2,red
U,6,2,red
V,6,3,red
W,6,2,red
X,6,2,red
Y,6,2,red
Z,6,2,red
[,6,2,red
\,6,2,red
],6,2,red
^,6,4,red
_,6,1,red
`,6,2,red
a,6,2,red
b,6,2,red
c,6,2,red
d,6,2,red
e,6,2,red
f,6,2,red
g,6,3,red
h,6,2,red
i,6,1,red
A,7,1,red
B,7,1,red
C,7,3,red
D,7,2,red
E,7,3,red
F,7,2,red
G,7,1,red
H,7,1,red
I,7,1,red
J,7,1,red
K,7,2,red
L,7,1,red
M,7,2,red
N,7,3,red
O,7,2,red
P,7,2,red
Q,7,3,red
R,7,4,red
S,7,2,red
T,7,2,red
U,7,2,red
V,7,3,red
W,7,2,red
X,7,2,red
Y,7,2,red
Z,7,2,red
[,7,2,red
\,7,2,red
],7,2,red
^,7,4,red
_,7,1,red
`,7,2,red
a,7,2,red
b,7,2,red
c,7,2,red
d,7,2,red
e,7,2,red
f,7,2,red
g,7,3,red
h,7,2,red
i,7,1,red
A,8,1,red
B,8,1,red
C,8,3,red
D,8,2,red
E,8,3,red
F,8,2,red
G,8,1,red
H,8,1,red
I,8,1,red
J,8,1,red
K,8,2,red
L,8,1,red
M,8,2,red
N,8,3,red
O,8,2,red
P,8,2,red
Q,8,3,red
R,8,4,red
S,8,2,red
T,8,2,red
U,8,2,red
V,8,3,red
W,8,2,red
X,8,2,red
Y,8,2,red
Z,8,2,red
[,8,2,red
\,8,2,red
],8,2,red
^,8,4,red
_,8,1,red
`,8,2,red
a,8,2,red
b,8,2,red
c,8,2,red
d,8,2,red
e,8,2,red
f,8,2,red
g,8,3,red
h,8,2,red
i,8,1,red
A,9,1,red
B,9,1,red
C,9,3,red
D,9,2,red
E,9,3,red
F,9,2,red
G,9,1,red
H,9,1,red
I,9,1,red
J,9,1,red
K,9,2,red
L,9,1,red
M,9,2,red
N,9,3,red
O,9,2,red
P,9,2,red
Q,9,3,red
R,9,4,red
S,9,2,red
T,9,2,red
U,9,2,red
V,9,3,red
W,9,2,red
X,9,2,red
Y,9,2,red
Z,9,2,red
[,9,2,red
\,9,2,red
],9,2,red
^,9,4,red
_,9,1,red
`,9,2,red
a,9,2,red
b,9,2,red
c,9,2,red
d,9,2,red
e,9,2,red
f,9,2,red
g,9,3,red
h,9,2,red
i,9,1,red
A,10,1,red
B,10,1,red
C,10,3,red
D,10,2,red
E,10,3,red
F,10,2,red
G,10,1,red
H,10,1,red
I,10,1,red
J,10,1,red
K,10,2,red
L,10,1,red
M,10,2,red
N,10,3,red
O,10,2,red
P,10,2,red
Q,10,3,red
R,10,4,red
S,10,2,red
T,10,2,red
U,10,2,red
V,10,3,red
W,10,2,red
X,10,2,red
Y,10,2,red
Z,10,2,red
[,10,2,red
\,10,2,red
],10,2,red
^,10,4,red
_,10,1,red
`,10,2,red
a,10,2,red
b,10,2,red
c,10,2,red
d,10,2,red
e,10,2,red
f,10,2,red
g,10,3,red
h,10,2,red
i,10,1,red
A,11,1,red
B,11,1,red
C,11,3,red
D,11,2,red
E,11,3,red
F,11,2,red
G,11,1,red
H,11,1,red
I,11,1,red
J,11,1,red
K,11,2,red
L,11,1,red
M,11,2,red
N,11,3,red
O,11,2,red
P,11,2,red
Q,11,3,red
R,11,4,red
S,11,2,red
T,11,2,red
U,11,2,red
V,11,3,red
W,11,2,red
X,11,2,red
Y,11,2,red
Z,11,2,red
[,11,2,red
\,11,2,red
],11,2,red
^,11,4,red
_,11,1,red
`,11,2,red
a,11,2,red
b,11,2,red
c,11,2,red
d,11,2,red
e,11,2,red
f,11,2,red
g,11,3,red
h,11,2,red
i,11,1,red
A,12,1,red
B,12,1,red
C,12,3,red
D,12,2,red
E,12,3,red
F,12,2,red
G,12,1,red
H,12,1,red
I,12,1,red
J,12,1,red
K,12,2,red
L,12,1,red
M,12,2,red
N,12,3,red
O,12,2,red
P,12,2,red
Q,12,3,red
R,12,4,red
S,12,2,red
T,12,2,red
U,12,2,red
V,12,3,red
W,12,2,red
X,12,2,red
Y,12,2,red
Z,12,2,red
[,12,2,red
\,12,2,red
],12,2,red
^,12,4,red
_,12,1,red
`,12,2,red
a,12,2,red
b,12,2,red
c,12,2,red
d,12,2,red
e,12,2,red
f,12,2,red
g,12,3,red
h,12,2,red
i,12,1,red
A,13,1,red
B,13,1,red
C,13,3,red
D,13,2,red
E,13,3,red
F,13,2,red
G,13,1,red
H,13,1,red
I,13,1,red
J,13,1,red
K,13,2,red
L,13,1,red
M,13,2,red
N,13,3,red
O,13,2,red
P,13,2,red
Q,13,3,red
R,13,4,red
S,13,2,red
T,13,2,red
U,13,2,red
V,13,3,red
W,13,2,red
X,13,2,red
Y,13,2,red
Z,13,2,red
[,13,2,red
\,13,2,red
],13,2,red
^,13,4,red
_,13,1,red
`,13,2,red
a,13,2,red
b,13,2,red
c,13,2,red
d,13,2,red
e,13,2,red
f,13,2,red
g,13,3,red
h,13,2,red
i,13,1,red
A,14,1,red
B,14,1,red
C,14,3,red
D,14,2,red
E,14,3,red
F,14,2,red
G,14,1,red
H,14,1,red
I,14,1,red
J,14,1,red
K,14,2,red
L,14,1,red
M,14,2,red
N,14,3,red
O,14,2,red
P,14,2,red
Q,14,3,red
R,14,4,red
S,14,2,red
T,14,2,red
U,14,2,red
V,14,3,red
W,14,2,red
X,14,2,red
Y,14,2,red
Z,14,2,red
[,14,2,red
\,14,2,red
],14,2,red
^,14,4,red
_,14,1,red
`,14,2,red
a,14,2,red
b,14,2,red
c,14,2,red
d,14,2,red
e,14,2,red
f,14,2,red
g,14,3,red
h,14,2,red
i,14,1,red
A,15,1,red
B,15,1,red
C,15,3,red
D,15,2,red
E,15,3,red
F,15,2,red
G,15,1,red
H,15,1,red
I,15,1,red
J,15,1,red
K,15,2,red
L,15,1,red
M,15,2,red
N,15,3,red
O,15,2,red
P,15,2,red
Q,15,3,red
R,15,4,red
S,15,2,red
T,15,2,red
U,15,2,red
V,15,3,red
W,15,2,red
X,15,2,red
Y,15,2,red
Z,15,2,red
[,15,2,red
\,15,2,red
],15,2,red
^,15,4,red
_,15,1,red
`,15,2,red
a,15,2,red
b,15,2,red
c,15,2,red
d,15,2,red
e,15,2,red
f,15,2,red
g,15,3,red
h,15,2,red
i,15,1,red
A,16,1,red
B,16,1,red
C,16,3,red
D,16,2,red
E,16,3,red
F,16,2,red
G,16,1,red
H,16,1,red
I,16,1,red
J,16,1,red
K,16,2,red
L,16,1,red
M,16,2,red
N,16,3,red
O,16,2,red
P,16,2,red
Q,16,3,red
R,16,4,red
S,16,2,red
T,16,2,red
U,16,2,red
V,16,3,red
W,16,2,red
X,16,2,red
